frame_id,session,height_cm,split,img_path,depth_path,teacher_path,has_object,n_object,light,n_kpt_visible
20260715_085311_130_000008,20260715_085311_130,130,train,new_ds/train\20260715_085311_130_000008.png,new_ds/Depth\20260715_085311_130_000008.npy,new_ds/Teacher\20260715_085311_130_000008.npy,1,2,No-Light,8
20260715_085311_130_000009,20260715_085311_130,130,train,new_ds/train\20260715_085311_130_000009.png,new_ds/Depth\20260715_085311_130_000009.npy,new_ds/Teacher\20260715_085311_130_000009.npy,1,1,No-Light,4
20260715_085311_130_000010,20260715_085311_130,130,train,new_ds/train\20260715_085311_130_000010.png,new_ds/Depth\20260715_085311_130_000010.npy,new_ds/Teacher\20260715_085311_130_000010.npy,1,1,No-Light,4
20260715_085311_130_000011,20260715_085311_130,130,train,new_ds/train\20260715_085311_130_000011.png,new_ds/Depth\20260715_085311_130_000011.npy,new_ds/Teacher\20260715_085311_130_000011.npy,1,1,No-Light,4
20260715_085311_130_000012,20260715_085311_130,130,train,new_ds/train\20260715_085311_130_000012.png,new_ds/Depth\20260715_085311_130_000012.npy,new_ds/Teacher\20260715_085311_130_000012.npy,0,0,No-Light,0
20260715_085311_130_000013,20260715_085311_130,130,train,new_ds/train\20260715_085311_130_000013.png,new_ds/Depth\20260715_085311_130_000013.npy,new_ds/Teacher\20260715_085311_130_000013.npy,0,0,No-Light,0
20260715_085311_130_000014,20260715_085311_130,130,train,new_ds/train\20260715_085311_130_000014.png,new_ds/Depth\20260715_085311_130_000014.npy,new_ds/Teacher\20260715_085311_130_000014.npy,0,0,No-Light,0
20260715_085311_130_000015,20260715_085311_130,130,train,new_ds/train\20260715_085311_130_000015.png,new_ds/Depth\20260715_085311_130_000015.npy,new_ds/Teacher\20260715_085311_130_000015.npy,0,0,No-Light,0
20260715_085311_130_000016,20260715_085311_130,130,train,new_ds/train\20260715_085311_130_000016.png,new_ds/Depth\20260715_085311_130_000016.npy,new_ds/Teacher\20260715_085311_130_000016.npy,0,0,No-Light,0
20260715_085344_140_000000,20260715_085344_140,140,train,new_ds/train\20260715_085344_140_000000.png,new_ds/Depth\20260715_085344_140_000000.npy,new_ds/Teacher\20260715_085344_140_000000.npy,0,0,No-Light,0
20260715_085344_140_000001,20260715_085344_140,140,train,new_ds/train\20260715_085344_140_000001.png,new_ds/Depth\20260715_085344_140_000001.npy,new_ds/Teacher\20260715_085344_140_000001.npy,0,0,No-Light,0
20260715_085344_140_000002,20260715_085344_140,140,train,new_ds/train\20260715_085344_140_000002.png,new_ds/Depth\20260715_085344_140_000002.npy,new_ds/Teacher\20260715_085344_140_000002.npy,1,1,No-Light,4
20260715_085344_140_000003,20260715_085344_140,140,train,new_ds/train\20260715_085344_140_000003.png,new_ds/Depth\20260715_085344_140_000003.npy,new_ds/Teacher\20260715_085344_140_000003.npy,1,1,No-Light,4
20260715_085344_140_000004,20260715_085344_140,140,train,new_ds/train\20260715_085344_140_000004.png,new_ds/Depth\20260715_085344_140_000004.npy,new_ds/Teacher\20260715_085344_140_000004.npy,1,1,No-Light,4
20260715_085344_140_000005,20260715_085344_140,140,train,new_ds/train\20260715_085344_140_000005.png,new_ds/Depth\20260715_085344_140_000005.npy,new_ds/Teacher\20260715_085344_140_000005.npy,1,2,No-Light,8
20260715_085344_140_000006,20260715_085344_140,140,train,new_ds/train\20260715_085344_140_000006.png,new_ds/Depth\20260715_085344_140_000006.npy,new_ds/Teacher\20260715_085344_140_000006.npy,1,2,No-Light,8
20260715_085344_140_000007,20260715_085344_140,140,train,new_ds/train\20260715_085344_140_000007.png,new_ds/Depth\20260715_085344_140_000007.npy,new_ds/Teacher\20260715_085344_140_000007.npy,1,2,No-Light,8
20260715_085344_140_000008,20260715_085344_140,140,train,new_ds/train\20260715_085344_140_000008.png,new_ds/Depth\20260715_085344_140_000008.npy,new_ds/Teacher\20260715_085344_140_000008.npy,1,2,No-Light,8
20260715_085344_140_000009,20260715_085344_140,140,train,new_ds/train\20260715_085344_140_000009.png,new_ds/Depth\20260715_085344_140_000009.npy,new_ds/Teacher\20260715_085344_140_000009.npy,1,2,No-Light,8
20260715_085344_140_000010,20260715_085344_140,140,train,new_ds/train\20260715_085344_140_000010.png,new_ds/Depth\20260715_085344_140_000010.npy,new_ds/Teacher\20260715_085344_140_000010.npy,1,1,No-Light,4
20260715_085344_140_000011,20260715_085344_140,140,train,new_ds/train\20260715_085344_140_000011.png,new_ds/Depth\20260715_085344_140_000011.npy,new_ds/Teacher\20260715_085344_140_000011.npy,0,0,No-Light,0
20260715_085344_140_000012,20260715_085344_140,140,train,new_ds/train\20260715_085344_140_000012.png,new_ds/Depth\20260715_085344_140_000012.npy,new_ds/Teacher\20260715_085344_140_000012.npy,0,0,No-Light,0
20260715_085344_140_000013,20260715_085344_140,140,train,new_ds/train\20260715_085344_140_000013.png,new_ds/Depth\20260715_085344_140_000013.npy,new_ds/Teacher\20260715_085344_140_000013.npy,0,0,No-Light,0
20260715_085344_140_000014,20260715_085344_140,140,train,new_ds/train\20260715_085344_140_000014.png,new_ds/Depth\20260715_085344_140_000014.npy,new_ds/Teacher\20260715_085344_140_000014.npy,0,0,No-Light,0
20260715_085344_140_000015,20260715_085344_140,140,train,new_ds/train\20260715_085344_140_000015.png,new_ds/Depth\20260715_085344_140_000015.npy,new_ds/Teacher\20260715_085344_140_000015.npy,0,0,No-Light,0
20260715_085344_140_000016,20260715_085344_140,140,train,new_ds/train\20260715_085344_140_000016.png,new_ds/Depth\20260715_085344_140_000016.npy,new_ds/Teacher\20260715_085344_140_000016.npy,0,0,No-Light,0
20260715_085344_140_000017,20260715_085344_140,140,train,new_ds/train\20260715_085344_140_000017.png,new_ds/Depth\20260715_085344_140_000017.npy,new_ds/Teacher\20260715_085344_140_000017.npy,0,0,No-Light,0
20260715_085415_150_000000,20260715_085415_150,150,train,new_ds/train\20260715_085415_150_000000.png,new_ds/Depth\20260715_085415_150_000000.npy,new_ds/Teacher\20260715_085415_150_000000.npy,0,0,No-Light,0
20260715_085415_150_000001,20260715_085415_150,150,train,new_ds/train\20260715_085415_150_000001.png,new_ds/Depth\20260715_085415_150_000001.npy,new_ds/Teacher\20260715_085415_150_000001.npy,0,0,No-Light,0
20260715_085415_150_000002,20260715_085415_150,150,train,new_ds/train\20260715_085415_150_000002.png,new_ds/Depth\20260715_085415_150_000002.npy,new_ds/Teacher\20260715_085415_150_000002.npy,0,0,No-Light,0
20260715_085415_150_000003,20260715_085415_150,150,train,new_ds/train\20260715_085415_150_000003.png,new_ds/Depth\20260715_085415_150_000003.npy,new_ds/Teacher\20260715_085415_150_000003.npy,1,1,No-Light,4
20260715_085415_150_000004,20260715_085415_150,150,train,new_ds/train\20260715_085415_150_000004.png,new_ds/Depth\20260715_085415_150_000004.npy,new_ds/Teacher\20260715_085415_150_000004.npy,1,1,No-Light,4
20260715_085415_150_000005,20260715_085415_150,150,train,new_ds/train\20260715_085415_150_000005.png,new_ds/Depth\20260715_085415_150_000005.npy,new_ds/Teacher\20260715_085415_150_000005.npy,1,2,No-Light,8
20260715_085415_150_000006,20260715_085415_150,150,train,new_ds/train\20260715_085415_150_000006.png,new_ds/Depth\20260715_085415_150_000006.npy,new_ds/Teacher\20260715_085415_150_000006.npy,1,2,No-Light,8
20260715_085415_150_000007,20260715_085415_150,150,train,new_ds/train\20260715_085415_150_000007.png,new_ds/Depth\20260715_085415_150_000007.npy,new_ds/Teacher\20260715_085415_150_000007.npy,1,2,No-Light,8
20260715_085415_150_000008,20260715_085415_150,150,train,new_ds/train\20260715_085415_150_000008.png,new_ds/Depth\20260715_085415_150_000008.npy,new_ds/Teacher\20260715_085415_150_000008.npy,1,2,No-Light,8
20260715_085415_150_000009,20260715_085415_150,150,train,new_ds/train\20260715_085415_150_000009.png,new_ds/Depth\20260715_085415_150_000009.npy,new_ds/Teacher\20260715_085415_150_000009.npy,1,2,No-Light,8
20260715_085415_150_000010,20260715_085415_150,150,train,new_ds/train\20260715_085415_150_000010.png,new_ds/Depth\20260715_085415_150_000010.npy,new_ds/Teacher\20260715_085415_150_000010.npy,1,2,No-Light,8
20260715_085415_150_000011,20260715_085415_150,150,train,new_ds/train\20260715_085415_150_000011.png,new_ds/Depth\20260715_085415_150_000011.npy,new_ds/Teacher\20260715_085415_150_000011.npy,1,2,No-Light,8
20260715_085415_150_000012,20260715_085415_150,150,train,new_ds/train\20260715_085415_150_000012.png,new_ds/Depth\20260715_085415_150_000012.npy,new_ds/Teacher\20260715_085415_150_000012.npy,0,0,No-Light,0
20260715_085415_150_000013,20260715_085415_150,150,train,new_ds/train\20260715_085415_150_000013.png,new_ds/Depth\20260715_085415_150_000013.npy,new_ds/Teacher\20260715_085415_150_000013.npy,0,0,No-Light,0
20260715_085415_150_000014,20260715_085415_150,150,train,new_ds/train\20260715_085415_150_000014.png,new_ds/Depth\20260715_085415_150_000014.npy,new_ds/Teacher\20260715_085415_150_000014.npy,0,0,No-Light,0
20260715_085415_150_000015,20260715_085415_150,150,train,new_ds/train\20260715_085415_150_000015.png,new_ds/Depth\20260715_085415_150_000015.npy,new_ds/Teacher\20260715_085415_150_000015.npy,0,0,No-Light,0
20260715_085415_150_000016,20260715_085415_150,150,train,new_ds/train\20260715_085415_150_000016.png,new_ds/Depth\20260715_085415_150_000016.npy,new_ds/Teacher\20260715_085415_150_000016.npy,0,0,No-Light,0
20260715_085415_150_000017,20260715_085415_150,150,train,new_ds/train\20260715_085415_150_000017.png,new_ds/Depth\20260715_085415_150_000017.npy,new_ds/Teacher\20260715_085415_150_000017.npy,0,0,No-Light,0
20260715_085448_160_000000,20260715_085448_160,160,train,new_ds/train\20260715_085448_160_000000.png,new_ds/Depth\20260715_085448_160_000000.npy,new_ds/Teacher\20260715_085448_160_000000.npy,0,0,No-Light,0
20260715_085448_160_000001,20260715_085448_160,160,train,new_ds/train\20260715_085448_160_000001.png,new_ds/Depth\20260715_085448_160_000001.npy,new_ds/Teacher\20260715_085448_160_000001.npy,1,1,No-Light,4
20260715_085448_160_000002,20260715_085448_160,160,train,new_ds/train\20260715_085448_160_000002.png,new_ds/Depth\20260715_085448_160_000002.npy,new_ds/Teacher\20260715_085448_160_000002.npy,1,1,No-Light,4
20260715_085448_160_000003,20260715_085448_160,160,train,new_ds/train\20260715_085448_160_000003.png,new_ds/Depth\20260715_085448_160_000003.npy,new_ds/Teacher\20260715_085448_160_000003.npy,1,1,No-Light,4
20260715_085448_160_000004,20260715_085448_160,160,train,new_ds/train\20260715_085448_160_000004.png,new_ds/Depth\20260715_085448_160_000004.npy,new_ds/Teacher\20260715_085448_160_000004.npy,1,1,No-Light,4
20260715_085448_160_000005,20260715_085448_160,160,train,new_ds/train\20260715_085448_160_000005.png,new_ds/Depth\20260715_085448_160_000005.npy,new_ds/Teacher\20260715_085448_160_000005.npy,1,2,No-Light,8
20260715_085448_160_000006,20260715_085448_160,160,train,new_ds/train\20260715_085448_160_000006.png,new_ds/Depth\20260715_085448_160_000006.npy,new_ds/Teacher\20260715_085448_160_000006.npy,1,2,No-Light,8
20260715_085448_160_000007,20260715_085448_160,160,train,new_ds/train\20260715_085448_160_000007.png,new_ds/Depth\20260715_085448_160_000007.npy,new_ds/Teacher\20260715_085448_160_000007.npy,1,2,No-Light,8
20260715_085448_160_000008,20260715_085448_160,160,train,new_ds/train\20260715_085448_160_000008.png,new_ds/Depth\20260715_085448_160_000008.npy,new_ds/Teacher\20260715_085448_160_000008.npy,1,2,No-Light,8
20260715_085448_160_000009,20260715_085448_160,160,train,new_ds/train\20260715_085448_160_000009.png,new_ds/Depth\20260715_085448_160_000009.npy,new_ds/Teacher\20260715_085448_160_000009.npy,1,2,No-Light,8
20260715_085448_160_000010,20260715_085448_160,160,train,new_ds/train\20260715_085448_160_000010.png,new_ds/Depth\20260715_085448_160_000010.npy,new_ds/Teacher\20260715_085448_160_000010.npy,1,2,No-Light,8
20260715_085448_160_000011,20260715_085448_160,160,train,new_ds/train\20260715_085448_160_000011.png,new_ds/Depth\20260715_085448_160_000011.npy,new_ds/Teacher\20260715_085448_160_000011.npy,0,0,No-Light,0
20260715_085448_160_000012,20260715_085448_160,160,train,new_ds/train\20260715_085448_160_000012.png,new_ds/Depth\20260715_085448_160_000012.npy,new_ds/Teacher\20260715_085448_160_000012.npy,0,0,No-Light,0
20260715_085448_160_000013,20260715_085448_160,160,train,new_ds/train\20260715_085448_160_000013.png,new_ds/Depth\20260715_085448_160_000013.npy,new_ds/Teacher\20260715_085448_160_000013.npy,0,0,No-Light,0
20260715_085448_160_000014,20260715_085448_160,160,train,new_ds/train\20260715_085448_160_000014.png,new_ds/Depth\20260715_085448_160_000014.npy,new_ds/Teacher\20260715_085448_160_000014.npy,0,0,No-Light,0
20260715_085448_160_000015,20260715_085448_160,160,train,new_ds/train\20260715_085448_160_000015.png,new_ds/Depth\20260715_085448_160_000015.npy,new_ds/Teacher\20260715_085448_160_000015.npy,0,0,No-Light,0
20260715_085448_160_000016,20260715_085448_160,160,train,new_ds/train\20260715_085448_160_000016.png,new_ds/Depth\20260715_085448_160_000016.npy,new_ds/Teacher\20260715_085448_160_000016.npy,0,0,No-Light,0
20260715_085448_160_000017,20260715_085448_160,160,train,new_ds/train\20260715_085448_160_000017.png,new_ds/Depth\20260715_085448_160_000017.npy,new_ds/Teacher\20260715_085448_160_000017.npy,0,0,No-Light,0
20260715_085532_160_000000,20260715_085532_160,160,train,new_ds/train\20260715_085532_160_000000.png,new_ds/Depth\20260715_085532_160_000000.npy,new_ds/Teacher\20260715_085532_160_000000.npy,1,1,No-Light,4
20260715_085532_160_000001,20260715_085532_160,160,train,new_ds/train\20260715_085532_160_000001.png,new_ds/Depth\20260715_085532_160_000001.npy,new_ds/Teacher\20260715_085532_160_000001.npy,1,1,No-Light,4
20260715_085532_160_000002,20260715_085532_160,160,train,new_ds/train\20260715_085532_160_000002.png,new_ds/Depth\20260715_085532_160_000002.npy,new_ds/Teacher\20260715_085532_160_000002.npy,1,1,No-Light,4
20260715_085532_160_000003,20260715_085532_160,160,train,new_ds/train\20260715_085532_160_000003.png,new_ds/Depth\20260715_085532_160_000003.npy,new_ds/Teacher\20260715_085532_160_000003.npy,1,1,No-Light,4
20260715_085532_160_000004,20260715_085532_160,160,train,new_ds/train\20260715_085532_160_000004.png,new_ds/Depth\20260715_085532_160_000004.npy,new_ds/Teacher\20260715_085532_160_000004.npy,0,0,No-Light,0
20260715_085532_160_000005,20260715_085532_160,160,train,new_ds/train\20260715_085532_160_000005.png,new_ds/Depth\20260715_085532_160_000005.npy,new_ds/Teacher\20260715_085532_160_000005.npy,0,0,No-Light,0
20260715_085532_160_000006,20260715_085532_160,160,train,new_ds/train\20260715_085532_160_000006.png,new_ds/Depth\20260715_085532_160_000006.npy,new_ds/Teacher\20260715_085532_160_000006.npy,0,0,No-Light,0
20260715_085532_160_000007,20260715_085532_160,160,train,new_ds/train\20260715_085532_160_000007.png,new_ds/Depth\20260715_085532_160_000007.npy,new_ds/Teacher\20260715_085532_160_000007.npy,0,0,No-Light,0
20260715_085532_160_000008,20260715_085532_160,160,train,new_ds/train\20260715_085532_160_000008.png,new_ds/Depth\20260715_085532_160_000008.npy,new_ds/Teacher\20260715_085532_160_000008.npy,0,0,No-Light,0
20260715_085532_160_000009,20260715_085532_160,160,train,new_ds/train\20260715_085532_160_000009.png,new_ds/Depth\20260715_085532_160_000009.npy,new_ds/Teacher\20260715_085532_160_000009.npy,0,0,No-Light,0
20260715_085532_160_000010,20260715_085532_160,160,train,new_ds/train\20260715_085532_160_000010.png,new_ds/Depth\20260715_085532_160_000010.npy,new_ds/Teacher\20260715_085532_160_000010.npy,0,0,No-Light,0
20260715_085532_160_000011,20260715_085532_160,160,train,new_ds/train\20260715_085532_160_000011.png,new_ds/Depth\20260715_085532_160_000011.npy,new_ds/Teacher\20260715_085532_160_000011.npy,0,0,No-Light,0
20260715_085532_160_000012,20260715_085532_160,160,train,new_ds/train\20260715_085532_160_000012.png,new_ds/Depth\20260715_085532_160_000012.npy,new_ds/Teacher\20260715_085532_160_000012.npy,0,0,No-Light,0
20260715_085532_160_000013,20260715_085532_160,160,train,new_ds/train\20260715_085532_160_000013.png,new_ds/Depth\20260715_085532_160_000013.npy,new_ds/Teacher\20260715_085532_160_000013.npy,0,0,No-Light,0
20260715_085532_160_000014,20260715_085532_160,160,train,new_ds/train\20260715_085532_160_000014.png,new_ds/Depth\20260715_085532_160_000014.npy,new_ds/Teacher\20260715_085532_160_000014.npy,0,0,No-Light,0
20260715_085556_160_000000,20260715_085556_160,160,train,new_ds/train\20260715_085556_160_000000.png,new_ds/Depth\20260715_085556_160_000000.npy,new_ds/Teacher\20260715_085556_160_000000.npy,0,0,No-Light,0
20260715_085556_160_000001,20260715_085556_160,160,train,new_ds/train\20260715_085556_160_000001.png,new_ds/Depth\20260715_085556_160_000001.npy,new_ds/Teacher\20260715_085556_160_000001.npy,0,0,No-Light,0
20260715_085556_160_000002,20260715_085556_160,160,train,new_ds/train\20260715_085556_160_000002.png,new_ds/Depth\20260715_085556_160_000002.npy,new_ds/Teacher\20260715_085556_160_000002.npy,1,1,No-Light,4
20260715_085556_160_000003,20260715_085556_160,160,train,new_ds/train\20260715_085556_160_000003.png,new_ds/Depth\20260715_085556_160_000003.npy,new_ds/Teacher\20260715_085556_160_000003.npy,1,1,No-Light,4
20260715_085556_160_000004,20260715_085556_160,160,train,new_ds/train\20260715_085556_160_000004.png,new_ds/Depth\20260715_085556_160_000004.npy,new_ds/Teacher\20260715_085556_160_000004.npy,1,1,No-Light,4
20260715_085556_160_000005,20260715_085556_160,160,train,new_ds/train\20260715_085556_160_000005.png,new_ds/Depth\20260715_085556_160_000005.npy,new_ds/Teacher\20260715_085556_160_000005.npy,1,1,No-Light,4
20260715_085556_160_000006,20260715_085556_160,160,train,new_ds/train\20260715_085556_160_000006.png,new_ds/Depth\20260715_085556_160_000006.npy,new_ds/Teacher\20260715_085556_160_000006.npy,1,1,No-Light,4
20260715_085556_160_000007,20260715_085556_160,160,train,new_ds/train\20260715_085556_160_000007.png,new_ds/Depth\20260715_085556_160_000007.npy,new_ds/Teacher\20260715_085556_160_000007.npy,1,2,No-Light,8
20260715_085556_160_000008,20260715_085556_160,160,train,new_ds/train\20260715_085556_160_000008.png,new_ds/Depth\20260715_085556_160_000008.npy,new_ds/Teacher\20260715_085556_160_000008.npy,1,1,No-Light,4
20260715_085556_160_000009,20260715_085556_160,160,train,new_ds/train\20260715_085556_160_000009.png,new_ds/Depth\20260715_085556_160_000009.npy,new_ds/Teacher\20260715_085556_160_000009.npy,1,1,No-Light,4
20260715_085556_160_000010,20260715_085556_160,160,train,new_ds/train\20260715_085556_160_000010.png,new_ds/Depth\20260715_085556_160_000010.npy,new_ds/Teacher\20260715_085556_160_000010.npy,1,1,No-Light,4
20260715_085556_160_000011,20260715_085556_160,160,train,new_ds/train\20260715_085556_160_000011.png,new_ds/Depth\20260715_085556_160_000011.npy,new_ds/Teacher\20260715_085556_160_000011.npy,1,1,No-Light,4
20260715_085556_160_000012,20260715_085556_160,160,train,new_ds/train\20260715_085556_160_000012.png,new_ds/Depth\20260715_085556_160_000012.npy,new_ds/Teacher\20260715_085556_160_000012.npy,1,1,No-Light,4
20260715_085556_160_000013,20260715_085556_160,160,train,new_ds/train\20260715_085556_160_000013.png,new_ds/Depth\20260715_085556_160_000013.npy,new_ds/Teacher\20260715_085556_160_000013.npy,1,1,No-Light,4
20260715_085556_160_000014,20260715_085556_160,160,train,new_ds/train\20260715_085556_160_000014.png,new_ds/Depth\20260715_085556_160_000014.npy,new_ds/Teacher\20260715_085556_160_000014.npy,1,1,No-Light,4
20260715_085556_160_000015,20260715_085556_160,160,train,new_ds/train\20260715_085556_160_000015.png,new_ds/Depth\20260715_085556_160_000015.npy,new_ds/Teacher\20260715_085556_160_000015.npy,1,1,No-Light,4
20260715_085556_160_000016,20260715_085556_160,160,train,new_ds/train\20260715_085556_160_000016.png,new_ds/Depth\20260715_085556_160_000016.npy,new_ds/Teacher\20260715_085556_160_000016.npy,1,1,No-Light,4
20260715_085625_150_000000,20260715_085625_150,150,train,new_ds/train\20260715_085625_150_000000.png,new_ds/Depth\20260715_085625_150_000000.npy,new_ds/Teacher\20260715_085625_150_000000.npy,0,0,No-Light,0
20260715_085625_150_000001,20260715_085625_150,150,train,new_ds/train\20260715_085625_150_000001.png,new_ds/Depth\20260715_085625_150_000001.npy,new_ds/Teacher\20260715_085625_150_000001.npy,0,0,No-Light,0
20260715_085625_150_000002,20260715_085625_150,150,train,new_ds/train\20260715_085625_150_000002.png,new_ds/Depth\20260715_085625_150_000002.npy,new_ds/Teacher\20260715_085625_150_000002.npy,0,0,No-Light,0
20260715_085625_150_000003,20260715_085625_150,150,train,new_ds/train\20260715_085625_150_000003.png,new_ds/Depth\20260715_085625_150_000003.npy,new_ds/Teacher\20260715_085625_150_000003.npy,0,0,No-Light,0
20260715_085625_150_000004,20260715_085625_150,150,train,new_ds/train\20260715_085625_150_000004.png,new_ds/Depth\20260715_085625_150_000004.npy,new_ds/Teacher\20260715_085625_150_000004.npy,0,0,No-Light,0
20260715_085625_150_000005,20260715_085625_150,150,train,new_ds/train\20260715_085625_150_000005.png,new_ds/Depth\20260715_085625_150_000005.npy,new_ds/Teacher\20260715_085625_150_000005.npy,1,1,No-Light,4
20260715_085625_150_000006,20260715_085625_150,150,train,new_ds/train\20260715_085625_150_000006.png,new_ds/Depth\20260715_085625_150_000006.npy,new_ds/Teacher\20260715_085625_150_000006.npy,1,1,No-Light,4
20260715_085625_150_000007,20260715_085625_150,150,train,new_ds/train\20260715_085625_150_000007.png,new_ds/Depth\20260715_085625_150_000007.npy,new_ds/Teacher\20260715_085625_150_000007.npy,1,1,No-Light,4
20260715_085625_150_000008,20260715_085625_150,150,train,new_ds/train\20260715_085625_150_000008.png,new_ds/Depth\20260715_085625_150_000008.npy,new_ds/Teacher\20260715_085625_150_000008.npy,1,1,No-Light,4
20260715_085625_150_000009,20260715_085625_150,150,train,new_ds/train\20260715_085625_150_000009.png,new_ds/Depth\20260715_085625_150_000009.npy,new_ds/Teacher\20260715_085625_150_000009.npy,1,1,No-Light,4
